ID,Email Address,first name,last name,password,father_name,status,student_number,Gender,birthday,passed_course_unit,grade_point_average,enterning_year,Field,province,national_code,qutoa
1,Isabel_York156586436@c2nyu.works,Isabel,York,JtjFdAk5HW,Fariborz,obligated,7785213549,Female,6/2/1380,40,18.4,1398,architecture,khozestan,1114976226,mantaghe 1
2,Sienna_Duvall908637957@bcfhs.meet,Sienna,Duvall,MpI1bauhmP,Ebrahim,free,1617643143,Female,1/20/1383,17,18.04,1399,electrical,esfahan,5295920608,mantaghe 3
3,Julian_Talbot905290229@xtwt3.store,Julian,Talbot,VXp4FBalvM,Abdolhamid,obligated,7512851225,Male,9/19/1377,136,12.69,1400,mechanic,chohar_mahal_va_bakhtiary,3865381062,mantaghe 3
4,Nicholas_Lane533246088@ds59r.app,Nicholas,Lane,SwJBtimyr9,Ehsanollah,free,8543001328,Male,9/26/1377,90,15.35,1400,electrical,ardabil,1005230061,25 percent
5,Daphne_Faulkner129131798@nanoff.pro,Daphne,Faulkner,X8sqPsoHDs,Hadi,free,3301624104,Female,12/29/1379,37,13.13,1399,architecture,boshehr,7081040760,25 percent
6,Brad_Uttridge1947916448@uagvw.us,Brad,Uttridge,7EuehdyXDo,Homayoun,obligated,3117773529,Male,12/2/1377,78,14.93,1398,architecture,kermanshah,4145671831,25 percent
7,Carter_Dillon45688829@qu9ml.info,Carter,Dillon,u75MGwTq0Z,Farhad,free,9980611578,Male,5/8/1380,50,17.44,1397,graphic,kermanshah,2467018955,mantaghe 3
8,Carolyn_Brennan849452089@cdpfn.mobi,Carolyn,Brennan,dsrzJo0jpa,Bahman,free,5172835723,Female,8/8/1383,30,14.91,1398,architecture,khorasan_jonobi,2627949585,mantaghe 2
9,Johnathan_Stone 1432444600@crzq7.space,Johnathan,Stone ,KOfGbQa6jQ,Khosrow,free,4115806229,Male,5/2/1384,16,17.57,1398,computer,tehran,7720886968,5 percent
10,Domenic_Dale634444699@ckzyi.site,Domenic,Dale,J6lUHu4iIG,Parviz,obligated,3953520812,Male,6/25/1380,69,12.28,1397,graphic,boshehr,4760779603,mantaghe 3
11,Emely_Rixon116681363@chkzl.autos,Emely,Rixon,M5VSF2btjY,Zohreh,free,3127788531,Female,4/14/1378,109,13.58,1400,architecture,esfahan,420873415,mantaghe 3
12,Rick_Dyson1321334998@bcfhs.com,Rick,Dyson,9n0J4F0MSo,Armin,free,8084003356,Male,5/24/1379,121,15.38,1399,graphic,mazandaran,1003030936,5 percent
13,Lauren_John1023873840@mpibr.app,Lauren,John,s0pdEGi12R,Yaser,obligated,579646416,Female,6/18/1382,87,16.36,1401,civil,mazandaran,1350600466,25 percent
14,Brad_Reynolds390936848@karnv.edu,Brad,Reynolds,5YQjq76YIk,Behrouz,obligated,7355194012,Male,2/11/1381,39,15.32,1397,computer,alborz,8493154199,mantaghe 1
15,Rosalyn_Gray926727976@nmz0p.biz,Rosalyn,Gray,pdF2IeVWqD,Abdolhamid,free,2102306440,Female,9/18/1383,9,16.18,1397,mechanic,gilan,4403743424,mantaghe 3
16,Melania_Hooper1787809246@chkzl.biz,Melania,Hooper,LUiBzgmiHG,Arman,free,2791500298,Female,1/1/1381,20,15.6,1397,mechanic,zanjan,6659027217,mantaghe 1
17,Ronald_White770285790@yafr7.page,Ronald,White,cYsfvc5UpC,Sohrab,obligated,9255860184,Male,7/23/1383,22,13.69,1398,mechanic,alborz,3380214503,mantaghe 3
18,Brad_Barrett1239071724@zynuu.pro,Brad,Barrett,AJYAqieHQN,Ehsanollah,free,7910340964,Male,2/3/1383,36,18.24,1400,mechanic,kerman,753662691,mantaghe 3
19,Brad_White1032936938@cke3u.website,Brad,White,YRc2XYLDXJ,Arman,free,6810767181,Male,3/17/1380,80,18.16,1400,computer,kerman,2274933364,mantaghe 3
20,Gabriel_Zaoui706183432@lyvnc.audio,Gabriel,Zaoui,FRRV6trwBh,Ghafour,free,6265888779,Male,12/13/1378,72,15.05,1400,computer,azarbaijan_gharbi,3100556471,25 percent
21,Aleksandra_Powell376947139@bqkv0.info,Aleksandra,Powell,gVPpIayUu9,Aziz,obligated,2456905486,Female,12/16/1383,24,12.27,1401,computer,hormozgan,5322519799,mantaghe 3
22,Alexander_Ingram1170560759@bqkv0.tech,Alexander,Ingram,LtWy8Tke88,Navid,free,970369785,Male,10/3/1382,74,18.92,1401,computer,fars,8896119803,5 percent
23,Penelope_Fowler802718282@gnjps.edu,Penelope,Fowler,qPm4n8Q8qF,Abdolhossein,free,8949567069,Female,7/8/1380,10,13.54,1400,graphic,khorasan_shoamli,6770886933,mantaghe 3
